date,fatigued,isPartial
2014-01-05,56,False
2014-01-12,68,False
2014-01-19,62,False
2014-01-26,75,False
2014-02-02,50,False
2014-02-09,55,False
2014-02-16,45,False
2014-02-23,75,False
2014-03-02,91,False
2014-03-09,66,False
2014-03-16,67,False
2014-03-23,77,False
2014-03-30,73,False
2014-04-06,80,False
2014-04-13,87,False
2014-04-20,95,False
2014-04-27,83,False
2014-05-04,63,False
2014-05-11,73,False
2014-05-18,72,False
2014-05-25,46,False
2014-06-01,79,False
2014-06-08,57,False
2014-06-15,89,False
2014-06-22,74,False
2014-06-29,76,False
2014-07-06,83,False
2014-07-13,79,False
2014-07-20,78,False
2014-07-27,71,False
2014-08-03,58,False
2014-08-10,77,False
2014-08-17,42,False
2014-08-24,55,False
2014-08-31,80,False
2014-09-07,70,False
2014-09-14,75,False
2014-09-21,82,False
2014-09-28,100,False
2014-10-05,77,False
2014-10-12,77,False
2014-10-19,81,False
2014-10-26,95,False
2014-11-02,69,False
2014-11-09,73,False
2014-11-16,70,False
2014-11-23,77,False
2014-11-30,56,False
2014-12-07,66,False
2014-12-14,41,False
2014-12-21,55,False
2014-12-28,68,False
