date,fatigued,isPartial
2012-01-01,59,False
2012-01-08,38,False
2012-01-15,76,False
2012-01-22,51,False
2012-01-29,62,False
2012-02-05,57,False
2012-02-12,54,False
2012-02-19,66,False
2012-02-26,84,False
2012-03-04,70,False
2012-03-11,46,False
2012-03-18,66,False
2012-03-25,66,False
2012-04-01,50,False
2012-04-08,72,False
2012-04-15,77,False
2012-04-22,57,False
2012-04-29,54,False
2012-05-06,88,False
2012-05-13,95,False
2012-05-20,58,False
2012-05-27,72,False
2012-06-03,53,False
2012-06-10,82,False
2012-06-17,98,False
2012-06-24,81,False
2012-07-01,100,False
2012-07-08,86,False
2012-07-15,60,False
2012-07-22,71,False
2012-07-29,60,False
2012-08-05,53,False
2012-08-12,85,False
2012-08-19,68,False
2012-08-26,59,False
2012-09-02,59,False
2012-09-09,90,False
2012-09-16,70,False
2012-09-23,72,False
2012-09-30,53,False
2012-10-07,65,False
2012-10-14,59,False
2012-10-21,69,False
2012-10-28,50,False
2012-11-04,61,False
2012-11-11,55,False
2012-11-18,52,False
2012-11-25,61,False
2012-12-02,65,False
2012-12-09,60,False
2012-12-16,46,False
2012-12-23,52,False
2012-12-30,61,False
