geoName,fatigued
Alabama,62
Alaska,0
Arizona,56
Arkansas,56
California,68
Colorado,58
Connecticut,57
Delaware,47
District of Columbia,66
Florida,68
Georgia,71
Hawaii,89
Idaho,98
Illinois,81
Indiana,66
Iowa,89
Kansas,65
Kentucky,95
Louisiana,59
Maine,26
Maryland,53
Massachusetts,57
Michigan,100
Minnesota,59
Mississippi,56
Missouri,80
Montana,80
Nebraska,56
Nevada,85
New Hampshire,82
New Jersey,64
New Mexico,24
New York,55
North Carolina,87
North Dakota,0
Ohio,72
Oklahoma,78
Oregon,60
Pennsylvania,62
Rhode Island,99
South Carolina,54
South Dakota,26
Tennessee,80
Texas,85
Utah,77
Vermont,0
Virginia,38
Washington,80
West Virginia,72
Wisconsin,92
Wyoming,0
