geoName,fatigued
Alabama,80
Alaska,0
Arizona,53
Arkansas,27
California,59
Colorado,70
Connecticut,44
Delaware,28
District of Columbia,72
Florida,60
Georgia,61
Hawaii,56
Idaho,35
Illinois,68
Indiana,100
Iowa,89
Kansas,100
Kentucky,74
Louisiana,69
Maine,68
Maryland,50
Massachusetts,45
Michigan,79
Minnesota,68
Mississippi,13
Missouri,43
Montana,58
Nebraska,23
Nevada,52
New Hampshire,75
New Jersey,57
New Mexico,92
New York,55
North Carolina,59
North Dakota,0
Ohio,57
Oklahoma,92
Oregon,33
Pennsylvania,51
Rhode Island,76
South Carolina,55
South Dakota,75
Tennessee,79
Texas,66
Utah,47
Vermont,0
Virginia,61
Washington,50
West Virginia,60
Wisconsin,67
Wyoming,0
