date,fatigued,isPartial
2015-01-04,70,False
2015-01-11,60,False
2015-01-18,78,False
2015-01-25,82,False
2015-02-01,66,False
2015-02-08,58,False
2015-02-15,58,False
2015-02-22,83,False
2015-03-01,46,False
2015-03-08,79,False
2015-03-15,70,False
2015-03-22,74,False
2015-03-29,75,False
2015-04-05,87,False
2015-04-12,77,False
2015-04-19,57,False
2015-04-26,87,False
2015-05-03,80,False
2015-05-10,100,False
2015-05-17,56,False
2015-05-24,74,False
2015-05-31,68,False
2015-06-07,59,False
2015-06-14,86,False
2015-06-21,69,False
2015-06-28,58,False
2015-07-05,62,False
2015-07-12,78,False
2015-07-19,92,False
2015-07-26,95,False
2015-08-02,63,False
2015-08-09,99,False
2015-08-16,69,False
2015-08-23,68,False
2015-08-30,73,False
2015-09-06,89,False
2015-09-13,84,False
2015-09-20,47,False
2015-09-27,70,False
2015-10-04,63,False
2015-10-11,64,False
2015-10-18,89,False
2015-10-25,69,False
2015-11-01,80,False
2015-11-08,85,False
2015-11-15,97,False
2015-11-22,57,False
2015-11-29,70,False
2015-12-06,70,False
2015-12-13,84,False
2015-12-20,66,False
2015-12-27,43,False
