geoName,sympathetic
Alabama,73
Alaska,56
Arizona,70
Arkansas,76
California,66
Colorado,67
Connecticut,74
Delaware,100
District of Columbia,51
Florida,72
Georgia,58
Hawaii,60
Idaho,85
Illinois,58
Indiana,76
Iowa,83
Kansas,79
Kentucky,58
Louisiana,81
Maine,81
Maryland,78
Massachusetts,73
Michigan,68
Minnesota,69
Mississippi,93
Missouri,72
Montana,80
Nebraska,55
Nevada,60
New Hampshire,68
New Jersey,60
New Mexico,66
New York,61
North Carolina,65
North Dakota,79
Ohio,79
Oklahoma,55
Oregon,54
Pennsylvania,69
Rhode Island,80
South Carolina,68
South Dakota,100
Tennessee,65
Texas,65
Utah,37
Vermont,74
Virginia,44
Washington,66
West Virginia,78
Wisconsin,68
Wyoming,68
