geoName,sympathetic
Alabama,86
Alaska,57
Arizona,67
Arkansas,80
California,58
Colorado,65
Connecticut,71
Delaware,43
District of Columbia,38
Florida,55
Georgia,50
Hawaii,100
Idaho,84
Illinois,55
Indiana,82
Iowa,81
Kansas,55
Kentucky,66
Louisiana,69
Maine,69
Maryland,72
Massachusetts,58
Michigan,66
Minnesota,59
Mississippi,50
Missouri,60
Montana,48
Nebraska,77
Nevada,54
New Hampshire,65
New Jersey,53
New Mexico,89
New York,55
North Carolina,64
North Dakota,81
Ohio,76
Oklahoma,59
Oregon,45
Pennsylvania,68
Rhode Island,89
South Carolina,79
South Dakota,55
Tennessee,58
Texas,50
Utah,56
Vermont,68
Virginia,60
Washington,50
West Virginia,78
Wisconsin,63
Wyoming,46
