date,sympathetic,isPartial
2015-01-04,46,False
2015-01-11,56,False
2015-01-18,64,False
2015-01-25,76,False
2015-02-01,88,False
2015-02-08,83,False
2015-02-15,82,False
2015-02-22,68,False
2015-03-01,73,False
2015-03-08,74,False
2015-03-15,59,False
2015-03-22,69,False
2015-03-29,67,False
2015-04-05,74,False
2015-04-12,79,False
2015-04-19,86,False
2015-04-26,81,False
2015-05-03,72,False
2015-05-10,70,False
2015-05-17,54,False
2015-05-24,46,False
2015-05-31,52,False
2015-06-07,45,False
2015-06-14,42,False
2015-06-21,44,False
2015-06-28,45,False
2015-07-05,44,False
2015-07-12,49,False
2015-07-19,47,False
2015-07-26,42,False
2015-08-02,41,False
2015-08-09,40,False
2015-08-16,38,False
2015-08-23,56,False
2015-08-30,66,False
2015-09-06,69,False
2015-09-13,87,False
2015-09-20,90,False
2015-09-27,83,False
2015-10-04,81,False
2015-10-11,85,False
2015-10-18,88,False
2015-10-25,88,False
2015-11-01,85,False
2015-11-08,97,False
2015-11-15,99,False
2015-11-22,60,False
2015-11-29,89,False
2015-12-06,100,False
2015-12-13,77,False
2015-12-20,30,False
2015-12-27,35,False
