date,sympathetic,isPartial
2014-01-05,50,False
2014-01-12,64,False
2014-01-19,68,False
2014-01-26,76,False
2014-02-02,80,False
2014-02-09,86,False
2014-02-16,86,False
2014-02-23,86,False
2014-03-02,62,False
2014-03-09,70,False
2014-03-16,76,False
2014-03-23,84,False
2014-03-30,81,False
2014-04-06,82,False
2014-04-13,82,False
2014-04-20,88,False
2014-04-27,98,False
2014-05-04,93,False
2014-05-11,66,False
2014-05-18,60,False
2014-05-25,58,False
2014-06-01,60,False
2014-06-08,48,False
2014-06-15,47,False
2014-06-22,46,False
2014-06-29,54,False
2014-07-06,48,False
2014-07-13,42,False
2014-07-20,43,False
2014-07-27,42,False
2014-08-03,44,False
2014-08-10,45,False
2014-08-17,48,False
2014-08-24,53,False
2014-08-31,62,False
2014-09-07,76,False
2014-09-14,91,False
2014-09-21,85,False
2014-09-28,85,False
2014-10-05,92,False
2014-10-12,86,False
2014-10-19,93,False
2014-10-26,75,False
2014-11-02,85,False
2014-11-09,87,False
2014-11-16,92,False
2014-11-23,67,False
2014-11-30,94,False
2014-12-07,100,False
2014-12-14,66,False
2014-12-21,31,False
2014-12-28,36,False
