geoName,sympathetic
Alabama,79
Alaska,59
Arizona,57
Arkansas,53
California,59
Colorado,56
Connecticut,72
Delaware,82
District of Columbia,35
Florida,62
Georgia,52
Hawaii,54
Idaho,93
Illinois,57
Indiana,68
Iowa,67
Kansas,56
Kentucky,49
Louisiana,63
Maine,64
Maryland,73
Massachusetts,58
Michigan,60
Minnesota,57
Mississippi,72
Missouri,65
Montana,67
Nebraska,58
Nevada,51
New Hampshire,46
New Jersey,56
New Mexico,80
New York,50
North Carolina,70
North Dakota,83
Ohio,66
Oklahoma,61
Oregon,30
Pennsylvania,69
Rhode Island,59
South Carolina,65
South Dakota,77
Tennessee,63
Texas,54
Utah,62
Vermont,58
Virginia,45
Washington,49
West Virginia,83
Wisconsin,71
Wyoming,100
