date,sympathetic,isPartial
2016-01-03,51,False
2016-01-10,59,False
2016-01-17,57,False
2016-01-24,75,False
2016-01-31,94,False
2016-02-07,91,False
2016-02-14,76,False
2016-02-21,96,False
2016-02-28,76,False
2016-03-06,80,False
2016-03-13,80,False
2016-03-20,69,False
2016-03-27,73,False
2016-04-03,91,False
2016-04-10,92,False
2016-04-17,85,False
2016-04-24,89,False
2016-05-01,85,False
2016-05-08,64,False
2016-05-15,59,False
2016-05-22,51,False
2016-05-29,48,False
2016-06-05,54,False
2016-06-12,51,False
2016-06-19,40,False
2016-06-26,42,False
2016-07-03,40,False
2016-07-10,42,False
2016-07-17,48,False
2016-07-24,45,False
2016-07-31,34,False
2016-08-07,38,False
2016-08-14,38,False
2016-08-21,50,False
2016-08-28,63,False
2016-09-04,71,False
2016-09-11,85,False
2016-09-18,75,False
2016-09-25,90,False
2016-10-02,77,False
2016-10-09,81,False
2016-10-16,85,False
2016-10-23,81,False
2016-10-30,81,False
2016-11-06,81,False
2016-11-13,87,False
2016-11-20,62,False
2016-11-27,99,False
2016-12-04,100,False
2016-12-11,93,False
2016-12-18,39,False
2016-12-25,22,False
