geoName,sympathetic
Alabama,79
Alaska,32
Arizona,62
Arkansas,68
California,55
Colorado,58
Connecticut,69
Delaware,100
District of Columbia,48
Florida,60
Georgia,54
Hawaii,73
Idaho,81
Illinois,56
Indiana,67
Iowa,71
Kansas,63
Kentucky,59
Louisiana,47
Maine,71
Maryland,70
Massachusetts,57
Michigan,63
Minnesota,65
Mississippi,62
Missouri,59
Montana,53
Nebraska,54
Nevada,46
New Hampshire,84
New Jersey,59
New Mexico,72
New York,57
North Carolina,56
North Dakota,90
Ohio,71
Oklahoma,81
Oregon,86
Pennsylvania,71
Rhode Island,67
South Carolina,65
South Dakota,89
Tennessee,74
Texas,55
Utah,67
Vermont,49
Virginia,60
Washington,49
West Virginia,82
Wisconsin,53
Wyoming,39
