date,sympathetic,isPartial
2013-01-06,48,False
2013-01-13,66,False
2013-01-20,76,False
2013-01-27,82,False
2013-02-03,89,False
2013-02-10,91,False
2013-02-17,87,False
2013-02-24,84,False
2013-03-03,79,False
2013-03-10,78,False
2013-03-17,73,False
2013-03-24,71,False
2013-03-31,73,False
2013-04-07,76,False
2013-04-14,79,False
2013-04-21,82,False
2013-04-28,81,False
2013-05-05,84,False
2013-05-12,69,False
2013-05-19,66,False
2013-05-26,53,False
2013-06-02,52,False
2013-06-09,53,False
2013-06-16,57,False
2013-06-23,55,False
2013-06-30,46,False
2013-07-07,50,False
2013-07-14,48,False
2013-07-21,51,False
2013-07-28,49,False
2013-08-04,41,False
2013-08-11,45,False
2013-08-18,49,False
2013-08-25,47,False
2013-09-01,68,False
2013-09-08,82,False
2013-09-15,93,False
2013-09-22,95,False
2013-09-29,94,False
2013-10-06,93,False
2013-10-13,83,False
2013-10-20,91,False
2013-10-27,90,False
2013-11-03,100,False
2013-11-10,88,False
2013-11-17,97,False
2013-11-24,55,False
2013-12-01,96,False
2013-12-08,98,False
2013-12-15,59,False
2013-12-22,25,False
2013-12-29,34,False
