geoName,struggle
Alabama,75
Alaska,61
Arizona,70
Arkansas,94
California,80
Colorado,65
Connecticut,85
Delaware,70
District of Columbia,87
Florida,72
Georgia,83
Hawaii,77
Idaho,69
Illinois,76
Indiana,85
Iowa,90
Kansas,81
Kentucky,78
Louisiana,80
Maine,68
Maryland,90
Massachusetts,77
Michigan,73
Minnesota,70
Mississippi,95
Missouri,73
Montana,53
Nebraska,76
Nevada,53
New Hampshire,59
New Jersey,78
New Mexico,93
New York,84
North Carolina,75
North Dakota,61
Ohio,79
Oklahoma,73
Oregon,56
Pennsylvania,72
Rhode Island,83
South Carolina,76
South Dakota,100
Tennessee,83
Texas,75
Utah,71
Vermont,74
Virginia,66
Washington,72
West Virginia,54
Wisconsin,70
Wyoming,68
