date,uncertain,isPartial
2015-01-04,40,False
2015-01-11,41,False
2015-01-18,50,False
2015-01-25,50,False
2015-02-01,46,False
2015-02-08,49,False
2015-02-15,45,False
2015-02-22,50,False
2015-03-01,49,False
2015-03-08,39,False
2015-03-15,43,False
2015-03-22,41,False
2015-03-29,100,False
2015-04-05,31,False
2015-04-12,63,False
2015-04-19,49,False
2015-04-26,47,False
2015-05-03,42,False
2015-05-10,57,False
2015-05-17,42,False
2015-05-24,39,False
2015-05-31,48,False
2015-06-07,47,False
2015-06-14,41,False
2015-06-21,33,False
2015-06-28,38,False
2015-07-05,33,False
2015-07-12,50,False
2015-07-19,47,False
2015-07-26,45,False
2015-08-02,34,False
2015-08-09,30,False
2015-08-16,28,False
2015-08-23,41,False
2015-08-30,47,False
2015-09-06,53,False
2015-09-13,51,False
2015-09-20,77,False
2015-09-27,68,False
2015-10-04,66,False
2015-10-11,53,False
2015-10-18,72,False
2015-10-25,71,False
2015-11-01,69,False
2015-11-08,67,False
2015-11-15,77,False
2015-11-22,37,False
2015-11-29,53,False
2015-12-06,54,False
2015-12-13,79,False
2015-12-20,30,False
2015-12-27,24,False
