geoName,uncertain
Alabama,50
Alaska,25
Arizona,56
Arkansas,58
California,52
Colorado,55
Connecticut,54
Delaware,100
District of Columbia,47
Florida,48
Georgia,39
Hawaii,79
Idaho,52
Illinois,40
Indiana,62
Iowa,51
Kansas,34
Kentucky,34
Louisiana,68
Maine,28
Maryland,67
Massachusetts,63
Michigan,45
Minnesota,55
Mississippi,36
Missouri,51
Montana,21
Nebraska,55
Nevada,36
New Hampshire,51
New Jersey,54
New Mexico,57
New York,47
North Carolina,60
North Dakota,0
Ohio,45
Oklahoma,29
Oregon,44
Pennsylvania,44
Rhode Island,67
South Carolina,36
South Dakota,69
Tennessee,45
Texas,54
Utah,53
Vermont,27
Virginia,35
Washington,42
West Virginia,8
Wisconsin,40
Wyoming,0
