geoName,uncertain
Alabama,34
Alaska,59
Arizona,46
Arkansas,54
California,44
Colorado,43
Connecticut,41
Delaware,20
District of Columbia,42
Florida,40
Georgia,36
Hawaii,20
Idaho,50
Illinois,47
Indiana,66
Iowa,56
Kansas,59
Kentucky,32
Louisiana,54
Maine,47
Maryland,46
Massachusetts,54
Michigan,41
Minnesota,35
Mississippi,19
Missouri,36
Montana,0
Nebraska,16
Nevada,25
New Hampshire,30
New Jersey,59
New Mexico,64
New York,55
North Carolina,46
North Dakota,0
Ohio,59
Oklahoma,45
Oregon,35
Pennsylvania,53
Rhode Island,65
South Carolina,31
South Dakota,100
Tennessee,72
Texas,57
Utah,72
Vermont,0
Virginia,44
Washington,26
West Virginia,27
Wisconsin,46
Wyoming,0
