date,uncertain,isPartial
2016-01-03,48,False
2016-01-10,53,False
2016-01-17,71,False
2016-01-24,70,False
2016-01-31,65,False
2016-02-07,53,False
2016-02-14,59,False
2016-02-21,77,False
2016-02-28,62,False
2016-03-06,50,False
2016-03-13,66,False
2016-03-20,53,False
2016-03-27,54,False
2016-04-03,61,False
2016-04-10,75,False
2016-04-17,76,False
2016-04-24,65,False
2016-05-01,52,False
2016-05-08,58,False
2016-05-15,48,False
2016-05-22,61,False
2016-05-29,43,False
2016-06-05,56,False
2016-06-12,45,False
2016-06-19,45,False
2016-06-26,50,False
2016-07-03,100,False
2016-07-10,49,False
2016-07-17,45,False
2016-07-24,41,False
2016-07-31,42,False
2016-08-07,37,False
2016-08-14,34,False
2016-08-21,42,False
2016-08-28,43,False
2016-09-04,60,False
2016-09-11,64,False
2016-09-18,63,False
2016-09-25,65,False
2016-10-02,55,False
2016-10-09,75,False
2016-10-16,67,False
2016-10-23,69,False
2016-10-30,60,False
2016-11-06,57,False
2016-11-13,63,False
2016-11-20,53,False
2016-11-27,67,False
2016-12-04,68,False
2016-12-11,65,False
2016-12-18,43,False
2016-12-25,52,False
