geoName,uncertain
Alabama,72
Alaska,88
Arizona,62
Arkansas,99
California,70
Colorado,47
Connecticut,65
Delaware,70
District of Columbia,86
Florida,62
Georgia,50
Hawaii,92
Idaho,57
Illinois,46
Indiana,67
Iowa,58
Kansas,34
Kentucky,71
Louisiana,61
Maine,42
Maryland,71
Massachusetts,70
Michigan,74
Minnesota,51
Mississippi,21
Missouri,76
Montana,71
Nebraska,48
Nevada,43
New Hampshire,75
New Jersey,64
New Mexico,63
New York,73
North Carolina,69
North Dakota,0
Ohio,53
Oklahoma,69
Oregon,55
Pennsylvania,69
Rhode Island,62
South Carolina,56
South Dakota,0
Tennessee,42
Texas,75
Utah,57
Vermont,0
Virginia,90
Washington,49
West Virginia,100
Wisconsin,81
Wyoming,0
