date,uncertain,isPartial
2012-01-01,46,False
2012-01-08,63,False
2012-01-15,42,False
2012-01-22,65,False
2012-01-29,59,False
2012-02-05,58,False
2012-02-12,62,False
2012-02-19,63,False
2012-02-26,43,False
2012-03-04,54,False
2012-03-11,43,False
2012-03-18,57,False
2012-03-25,43,False
2012-04-01,60,False
2012-04-08,66,False
2012-04-15,39,False
2012-04-22,63,False
2012-04-29,57,False
2012-05-06,54,False
2012-05-13,45,False
2012-05-20,54,False
2012-05-27,29,False
2012-06-03,40,False
2012-06-10,51,False
2012-06-17,55,False
2012-06-24,52,False
2012-07-01,45,False
2012-07-08,45,False
2012-07-15,48,False
2012-07-22,39,False
2012-07-29,46,False
2012-08-05,65,False
2012-08-12,30,False
2012-08-19,61,False
2012-08-26,64,False
2012-09-02,45,False
2012-09-09,45,False
2012-09-16,49,False
2012-09-23,67,False
2012-09-30,100,False
2012-10-07,76,False
2012-10-14,46,False
2012-10-21,61,False
2012-10-28,34,False
2012-11-04,78,False
2012-11-11,44,False
2012-11-18,41,False
2012-11-25,50,False
2012-12-02,71,False
2012-12-09,52,False
2012-12-16,37,False
2012-12-23,33,False
2012-12-30,25,False
