geoName,uncertain
Alabama,90
Alaska,59
Arizona,82
Arkansas,73
California,69
Colorado,69
Connecticut,72
Delaware,43
District of Columbia,70
Florida,59
Georgia,57
Hawaii,53
Idaho,68
Illinois,64
Indiana,74
Iowa,89
Kansas,95
Kentucky,40
Louisiana,77
Maine,100
Maryland,67
Massachusetts,84
Michigan,52
Minnesota,77
Mississippi,86
Missouri,81
Montana,47
Nebraska,52
Nevada,37
New Hampshire,71
New Jersey,65
New Mexico,71
New York,81
North Carolina,64
North Dakota,0
Ohio,73
Oklahoma,77
Oregon,83
Pennsylvania,71
Rhode Island,59
South Carolina,91
South Dakota,99
Tennessee,67
Texas,96
Utah,31
Vermont,94
Virginia,76
Washington,75
West Virginia,54
Wisconsin,78
Wyoming,0
