date,uncertain,isPartial
2013-01-06,67,False
2013-01-13,60,False
2013-01-20,69,False
2013-01-27,47,False
2013-02-03,44,False
2013-02-10,73,False
2013-02-17,67,False
2013-02-24,64,False
2013-03-03,49,False
2013-03-10,58,False
2013-03-17,41,False
2013-03-24,51,False
2013-03-31,67,False
2013-04-07,61,False
2013-04-14,67,False
2013-04-21,60,False
2013-04-28,72,False
2013-05-05,69,False
2013-05-12,80,False
2013-05-19,49,False
2013-05-26,65,False
2013-06-02,73,False
2013-06-09,61,False
2013-06-16,50,False
2013-06-23,59,False
2013-06-30,39,False
2013-07-07,54,False
2013-07-14,53,False
2013-07-21,55,False
2013-07-28,67,False
2013-08-04,54,False
2013-08-11,45,False
2013-08-18,53,False
2013-08-25,59,False
2013-09-01,82,False
2013-09-08,72,False
2013-09-15,62,False
2013-09-22,70,False
2013-09-29,82,False
2013-10-06,90,False
2013-10-13,100,False
2013-10-20,90,False
2013-10-27,71,False
2013-11-03,70,False
2013-11-10,65,False
2013-11-17,64,False
2013-11-24,59,False
2013-12-01,49,False
2013-12-08,77,False
2013-12-15,85,False
2013-12-22,19,False
2013-12-29,45,False
