date,uncertain,isPartial
2011-01-02,36,False
2011-01-09,50,False
2011-01-16,68,False
2011-01-23,74,False
2011-01-30,60,False
2011-02-06,48,False
2011-02-13,87,False
2011-02-20,56,False
2011-02-27,45,False
2011-03-06,65,False
2011-03-13,69,False
2011-03-20,100,False
2011-03-27,77,False
2011-04-03,64,False
2011-04-10,57,False
2011-04-17,58,False
2011-04-24,69,False
2011-05-01,50,False
2011-05-08,60,False
2011-05-15,62,False
2011-05-22,54,False
2011-05-29,85,False
2011-06-05,37,False
2011-06-12,54,False
2011-06-19,46,False
2011-06-26,61,False
2011-07-03,41,False
2011-07-10,34,False
2011-07-17,43,False
2011-07-24,55,False
2011-07-31,56,False
2011-08-07,37,False
2011-08-14,38,False
2011-08-21,50,False
2011-08-28,67,False
2011-09-04,65,False
2011-09-11,80,False
2011-09-18,64,False
2011-09-25,56,False
2011-10-02,37,False
2011-10-09,57,False
2011-10-16,63,False
2011-10-23,58,False
2011-10-30,64,False
2011-11-06,76,False
2011-11-13,71,False
2011-11-20,38,False
2011-11-27,53,False
2011-12-04,74,False
2011-12-11,65,False
2011-12-18,47,False
2011-12-25,44,False
