geoName,uncertain
Alabama,81
Alaska,67
Arizona,57
Arkansas,29
California,61
Colorado,34
Connecticut,39
Delaware,64
District of Columbia,67
Florida,50
Georgia,40
Hawaii,24
Idaho,39
Illinois,46
Indiana,32
Iowa,42
Kansas,39
Kentucky,51
Louisiana,53
Maine,29
Maryland,66
Massachusetts,53
Michigan,39
Minnesota,47
Mississippi,51
Missouri,44
Montana,49
Nebraska,42
Nevada,38
New Hampshire,35
New Jersey,36
New Mexico,43
New York,57
North Carolina,45
North Dakota,0
Ohio,48
Oklahoma,25
Oregon,31
Pennsylvania,52
Rhode Island,66
South Carolina,32
South Dakota,21
Tennessee,49
Texas,71
Utah,28
Vermont,75
Virginia,60
Washington,40
West Virginia,100
Wisconsin,50
Wyoming,0
