date,uncertain,isPartial
2014-01-05,41,False
2014-01-12,72,False
2014-01-19,67,False
2014-01-26,66,False
2014-02-02,84,False
2014-02-09,75,False
2014-02-16,73,False
2014-02-23,59,False
2014-03-02,73,False
2014-03-09,90,False
2014-03-16,65,False
2014-03-23,86,False
2014-03-30,91,False
2014-04-06,72,False
2014-04-13,66,False
2014-04-20,84,False
2014-04-27,56,False
2014-05-04,68,False
2014-05-11,65,False
2014-05-18,61,False
2014-05-25,71,False
2014-06-01,78,False
2014-06-08,74,False
2014-06-15,93,False
2014-06-22,53,False
2014-06-29,67,False
2014-07-06,80,False
2014-07-13,84,False
2014-07-20,64,False
2014-07-27,56,False
2014-08-03,64,False
2014-08-10,57,False
2014-08-17,67,False
2014-08-24,56,False
2014-08-31,73,False
2014-09-07,91,False
2014-09-14,81,False
2014-09-21,100,False
2014-09-28,93,False
2014-10-05,78,False
2014-10-12,84,False
2014-10-19,92,False
2014-10-26,89,False
2014-11-02,93,False
2014-11-09,78,False
2014-11-16,79,False
2014-11-23,51,False
2014-11-30,65,False
2014-12-07,76,False
2014-12-14,75,False
2014-12-21,43,False
2014-12-28,34,False
