date,mental,isPartial
2013-01-06,84,False
2013-01-13,90,False
2013-01-20,86,False
2013-01-27,90,False
2013-02-03,94,False
2013-02-10,88,False
2013-02-17,92,False
2013-02-24,95,False
2013-03-03,89,False
2013-03-10,86,False
2013-03-17,91,False
2013-03-24,86,False
2013-03-31,88,False
2013-04-07,98,False
2013-04-14,94,False
2013-04-21,99,False
2013-04-28,94,False
2013-05-05,90,False
2013-05-12,89,False
2013-05-19,85,False
2013-05-26,77,False
2013-06-02,88,False
2013-06-09,79,False
2013-06-16,79,False
2013-06-23,80,False
2013-06-30,71,False
2013-07-07,80,False
2013-07-14,76,False
2013-07-21,81,False
2013-07-28,82,False
2013-08-04,79,False
2013-08-11,77,False
2013-08-18,78,False
2013-08-25,81,False
2013-09-01,80,False
2013-09-08,87,False
2013-09-15,94,False
2013-09-22,95,False
2013-09-29,97,False
2013-10-06,97,False
2013-10-13,95,False
2013-10-20,97,False
2013-10-27,98,False
2013-11-03,97,False
2013-11-10,97,False
2013-11-17,98,False
2013-11-24,76,False
2013-12-01,92,False
2013-12-08,100,False
2013-12-15,100,False
2013-12-22,62,False
2013-12-29,70,False
