geoName,mental
Alabama,82
Alaska,77
Arizona,60
Arkansas,73
California,65
Colorado,78
Connecticut,79
Delaware,80
District of Columbia,73
Florida,59
Georgia,64
Hawaii,53
Idaho,79
Illinois,66
Indiana,74
Iowa,86
Kansas,84
Kentucky,68
Louisiana,76
Maine,79
Maryland,87
Massachusetts,82
Michigan,77
Minnesota,100
Mississippi,92
Missouri,75
Montana,93
Nebraska,72
Nevada,60
New Hampshire,90
New Jersey,66
New Mexico,64
New York,74
North Carolina,68
North Dakota,67
Ohio,70
Oklahoma,76
Oregon,81
Pennsylvania,75
Rhode Island,77
South Carolina,78
South Dakota,72
Tennessee,79
Texas,56
Utah,71
Vermont,87
Virginia,73
Washington,78
West Virginia,80
Wisconsin,78
Wyoming,61
