geoName,mental
Alabama,84
Alaska,86
Arizona,56
Arkansas,74
California,60
Colorado,79
Connecticut,75
Delaware,74
District of Columbia,64
Florida,58
Georgia,60
Hawaii,51
Idaho,82
Illinois,63
Indiana,73
Iowa,89
Kansas,75
Kentucky,65
Louisiana,73
Maine,85
Maryland,78
Massachusetts,81
Michigan,74
Minnesota,91
Mississippi,84
Missouri,79
Montana,100
Nebraska,65
Nevada,59
New Hampshire,88
New Jersey,62
New Mexico,69
New York,67
North Carolina,67
North Dakota,69
Ohio,70
Oklahoma,62
Oregon,65
Pennsylvania,72
Rhode Island,74
South Carolina,74
South Dakota,73
Tennessee,72
Texas,53
Utah,72
Vermont,96
Virginia,50
Washington,76
West Virginia,74
Wisconsin,71
Wyoming,73
