geoName,mental
Alabama,86
Alaska,80
Arizona,55
Arkansas,63
California,57
Colorado,81
Connecticut,71
Delaware,77
District of Columbia,62
Florida,64
Georgia,57
Hawaii,59
Idaho,75
Illinois,59
Indiana,79
Iowa,76
Kansas,92
Kentucky,70
Louisiana,75
Maine,95
Maryland,80
Massachusetts,78
Michigan,73
Minnesota,81
Mississippi,89
Missouri,72
Montana,100
Nebraska,68
Nevada,60
New Hampshire,87
New Jersey,59
New Mexico,71
New York,66
North Carolina,73
North Dakota,87
Ohio,68
Oklahoma,81
Oregon,82
Pennsylvania,72
Rhode Island,79
South Carolina,77
South Dakota,69
Tennessee,76
Texas,47
Utah,79
Vermont,90
Virginia,64
Washington,71
West Virginia,75
Wisconsin,72
Wyoming,82
