date,mental,isPartial
2014-01-05,83,False
2014-01-12,89,False
2014-01-19,84,False
2014-01-26,95,False
2014-02-02,88,False
2014-02-09,87,False
2014-02-16,92,False
2014-02-23,96,False
2014-03-02,92,False
2014-03-09,90,False
2014-03-16,86,False
2014-03-23,92,False
2014-03-30,94,False
2014-04-06,96,False
2014-04-13,91,False
2014-04-20,94,False
2014-04-27,98,False
2014-05-04,94,False
2014-05-11,97,False
2014-05-18,87,False
2014-05-25,90,False
2014-06-01,87,False
2014-06-08,80,False
2014-06-15,83,False
2014-06-22,80,False
2014-06-29,71,False
2014-07-06,80,False
2014-07-13,81,False
2014-07-20,77,False
2014-07-27,74,False
2014-08-03,76,False
2014-08-10,87,False
2014-08-17,83,False
2014-08-24,85,False
2014-08-31,83,False
2014-09-07,93,False
2014-09-14,94,False
2014-09-21,94,False
2014-09-28,98,False
2014-10-05,100,False
2014-10-12,94,False
2014-10-19,98,False
2014-10-26,98,False
2014-11-02,95,False
2014-11-09,92,False
2014-11-16,95,False
2014-11-23,71,False
2014-11-30,98,False
2014-12-07,93,False
2014-12-14,78,False
2014-12-21,55,False
2014-12-28,61,False
