geoName,mental
Alabama,90
Alaska,88
Arizona,59
Arkansas,81
California,65
Colorado,87
Connecticut,73
Delaware,73
District of Columbia,66
Florida,65
Georgia,61
Hawaii,55
Idaho,76
Illinois,59
Indiana,77
Iowa,88
Kansas,91
Kentucky,69
Louisiana,71
Maine,89
Maryland,85
Massachusetts,79
Michigan,74
Minnesota,91
Mississippi,95
Missouri,70
Montana,100
Nebraska,72
Nevada,62
New Hampshire,100
New Jersey,63
New Mexico,78
New York,70
North Carolina,76
North Dakota,81
Ohio,70
Oklahoma,79
Oregon,79
Pennsylvania,79
Rhode Island,86
South Carolina,82
South Dakota,77
Tennessee,83
Texas,50
Utah,81
Vermont,100
Virginia,71
Washington,78
West Virginia,84
Wisconsin,77
Wyoming,84
