date,mental,isPartial
2015-01-04,72,False
2015-01-11,76,False
2015-01-18,81,False
2015-01-25,81,False
2015-02-01,79,False
2015-02-08,81,False
2015-02-15,78,False
2015-02-22,84,False
2015-03-01,80,False
2015-03-08,84,False
2015-03-15,82,False
2015-03-22,83,False
2015-03-29,81,False
2015-04-05,85,False
2015-04-12,86,False
2015-04-19,88,False
2015-04-26,86,False
2015-05-03,84,False
2015-05-10,81,False
2015-05-17,79,False
2015-05-24,73,False
2015-05-31,78,False
2015-06-07,76,False
2015-06-14,73,False
2015-06-21,73,False
2015-06-28,67,False
2015-07-05,72,False
2015-07-12,76,False
2015-07-19,74,False
2015-07-26,72,False
2015-08-02,71,False
2015-08-09,71,False
2015-08-16,74,False
2015-08-23,79,False
2015-08-30,82,False
2015-09-06,82,False
2015-09-13,87,False
2015-09-20,87,False
2015-09-27,90,False
2015-10-04,100,False
2015-10-11,90,False
2015-10-18,91,False
2015-10-25,92,False
2015-11-01,89,False
2015-11-08,87,False
2015-11-15,88,False
2015-11-22,66,False
2015-11-29,92,False
2015-12-06,92,False
2015-12-13,79,False
2015-12-20,55,False
2015-12-27,60,False
