geoName,mental
Alabama,80
Alaska,79
Arizona,54
Arkansas,62
California,60
Colorado,74
Connecticut,69
Delaware,72
District of Columbia,68
Florida,56
Georgia,54
Hawaii,51
Idaho,75
Illinois,58
Indiana,66
Iowa,74
Kansas,76
Kentucky,62
Louisiana,61
Maine,90
Maryland,75
Massachusetts,73
Michigan,68
Minnesota,80
Mississippi,76
Missouri,65
Montana,100
Nebraska,66
Nevada,56
New Hampshire,91
New Jersey,57
New Mexico,68
New York,66
North Carolina,67
North Dakota,69
Ohio,64
Oklahoma,66
Oregon,55
Pennsylvania,68
Rhode Island,74
South Carolina,71
South Dakota,62
Tennessee,67
Texas,47
Utah,69
Vermont,92
Virginia,62
Washington,68
West Virginia,74
Wisconsin,69
Wyoming,67
