geoName,prevent
Alabama,80
Alaska,70
Arizona,77
Arkansas,79
California,81
Colorado,75
Connecticut,86
Delaware,80
District of Columbia,69
Florida,73
Georgia,77
Hawaii,100
Idaho,83
Illinois,74
Indiana,79
Iowa,84
Kansas,76
Kentucky,75
Louisiana,77
Maine,77
Maryland,85
Massachusetts,81
Michigan,76
Minnesota,82
Mississippi,81
Missouri,77
Montana,75
Nebraska,75
Nevada,70
New Hampshire,77
New Jersey,76
New Mexico,80
New York,78
North Carolina,81
North Dakota,79
Ohio,75
Oklahoma,74
Oregon,70
Pennsylvania,81
Rhode Island,81
South Carolina,76
South Dakota,80
Tennessee,71
Texas,73
Utah,80
Vermont,77
Virginia,85
Washington,74
West Virginia,75
Wisconsin,83
Wyoming,58
