date,prevent,isPartial
2016-01-03,88,False
2016-01-10,88,False
2016-01-17,88,False
2016-01-24,94,False
2016-01-31,93,False
2016-02-07,91,False
2016-02-14,93,False
2016-02-21,95,False
2016-02-28,93,False
2016-03-06,97,False
2016-03-13,92,False
2016-03-20,92,False
2016-03-27,95,False
2016-04-03,99,False
2016-04-10,100,False
2016-04-17,99,False
2016-04-24,98,False
2016-05-01,97,False
2016-05-08,97,False
2016-05-15,94,False
2016-05-22,90,False
2016-05-29,92,False
2016-06-05,88,False
2016-06-12,89,False
2016-06-19,90,False
2016-06-26,89,False
2016-07-03,85,False
2016-07-10,84,False
2016-07-17,87,False
2016-07-24,88,False
2016-07-31,81,False
2016-08-07,79,False
2016-08-14,80,False
2016-08-21,83,False
2016-08-28,83,False
2016-09-04,82,False
2016-09-11,88,False
2016-09-18,90,False
2016-09-25,95,False
2016-10-02,93,False
2016-10-09,89,False
2016-10-16,95,False
2016-10-23,93,False
2016-10-30,90,False
2016-11-06,84,False
2016-11-13,96,False
2016-11-20,81,False
2016-11-27,97,False
2016-12-04,94,False
2016-12-11,88,False
2016-12-18,80,False
2016-12-25,73,False
