geoName,prevent
Alabama,86
Alaska,71
Arizona,76
Arkansas,86
California,78
Colorado,80
Connecticut,93
Delaware,88
District of Columbia,68
Florida,76
Georgia,74
Hawaii,85
Idaho,80
Illinois,74
Indiana,90
Iowa,89
Kansas,68
Kentucky,78
Louisiana,77
Maine,78
Maryland,89
Massachusetts,86
Michigan,74
Minnesota,80
Mississippi,80
Missouri,75
Montana,68
Nebraska,79
Nevada,79
New Hampshire,89
New Jersey,83
New Mexico,75
New York,76
North Carolina,80
North Dakota,85
Ohio,83
Oklahoma,68
Oregon,59
Pennsylvania,82
Rhode Island,77
South Carolina,74
South Dakota,100
Tennessee,73
Texas,71
Utah,85
Vermont,83
Virginia,62
Washington,79
West Virginia,79
Wisconsin,83
Wyoming,74
