geoName,prevent
Alabama,72
Alaska,57
Arizona,67
Arkansas,81
California,74
Colorado,65
Connecticut,82
Delaware,74
District of Columbia,67
Florida,69
Georgia,70
Hawaii,88
Idaho,79
Illinois,72
Indiana,76
Iowa,76
Kansas,73
Kentucky,81
Louisiana,77
Maine,68
Maryland,77
Massachusetts,72
Michigan,71
Minnesota,64
Mississippi,84
Missouri,72
Montana,53
Nebraska,65
Nevada,67
New Hampshire,65
New Jersey,82
New Mexico,72
New York,72
North Carolina,73
North Dakota,100
Ohio,72
Oklahoma,66
Oregon,69
Pennsylvania,78
Rhode Island,81
South Carolina,75
South Dakota,75
Tennessee,76
Texas,67
Utah,78
Vermont,69
Virginia,77
Washington,66
West Virginia,60
Wisconsin,79
Wyoming,67
