date,prevent,isPartial
2013-01-06,87,False
2013-01-13,90,False
2013-01-20,88,False
2013-01-27,85,False
2013-02-03,84,False
2013-02-10,88,False
2013-02-17,88,False
2013-02-24,85,False
2013-03-03,86,False
2013-03-10,87,False
2013-03-17,90,False
2013-03-24,83,False
2013-03-31,86,False
2013-04-07,97,False
2013-04-14,93,False
2013-04-21,94,False
2013-04-28,96,False
2013-05-05,89,False
2013-05-12,100,False
2013-05-19,87,False
2013-05-26,87,False
2013-06-02,91,False
2013-06-09,87,False
2013-06-16,88,False
2013-06-23,87,False
2013-06-30,83,False
2013-07-07,87,False
2013-07-14,83,False
2013-07-21,87,False
2013-07-28,84,False
2013-08-04,83,False
2013-08-11,81,False
2013-08-18,79,False
2013-08-25,81,False
2013-09-01,88,False
2013-09-08,90,False
2013-09-15,85,False
2013-09-22,88,False
2013-09-29,91,False
2013-10-06,91,False
2013-10-13,88,False
2013-10-20,90,False
2013-10-27,92,False
2013-11-03,92,False
2013-11-10,93,False
2013-11-17,98,False
2013-11-24,78,False
2013-12-01,90,False
2013-12-08,92,False
2013-12-15,83,False
2013-12-22,68,False
2013-12-29,80,False
