date,prevent,isPartial
2015-01-04,93,False
2015-01-11,88,False
2015-01-18,90,False
2015-01-25,91,False
2015-02-01,87,False
2015-02-08,91,False
2015-02-15,97,False
2015-02-22,90,False
2015-03-01,95,False
2015-03-08,90,False
2015-03-15,90,False
2015-03-22,96,False
2015-03-29,91,False
2015-04-05,94,False
2015-04-12,97,False
2015-04-19,98,False
2015-04-26,98,False
2015-05-03,100,False
2015-05-10,93,False
2015-05-17,93,False
2015-05-24,92,False
2015-05-31,91,False
2015-06-07,93,False
2015-06-14,88,False
2015-06-21,88,False
2015-06-28,88,False
2015-07-05,83,False
2015-07-12,91,False
2015-07-19,94,False
2015-07-26,88,False
2015-08-02,86,False
2015-08-09,87,False
2015-08-16,86,False
2015-08-23,92,False
2015-08-30,91,False
2015-09-06,91,False
2015-09-13,93,False
2015-09-20,94,False
2015-09-27,96,False
2015-10-04,98,False
2015-10-11,97,False
2015-10-18,99,False
2015-10-25,92,False
2015-11-01,99,False
2015-11-08,97,False
2015-11-15,100,False
2015-11-22,78,False
2015-11-29,96,False
2015-12-06,97,False
2015-12-13,90,False
2015-12-20,74,False
2015-12-27,78,False
