geoName,prevent
Alabama,77
Alaska,69
Arizona,77
Arkansas,100
California,81
Colorado,76
Connecticut,84
Delaware,92
District of Columbia,74
Florida,76
Georgia,77
Hawaii,88
Idaho,89
Illinois,74
Indiana,88
Iowa,90
Kansas,82
Kentucky,85
Louisiana,77
Maine,72
Maryland,87
Massachusetts,79
Michigan,77
Minnesota,81
Mississippi,80
Missouri,78
Montana,80
Nebraska,79
Nevada,70
New Hampshire,70
New Jersey,83
New Mexico,83
New York,78
North Carolina,86
North Dakota,87
Ohio,81
Oklahoma,77
Oregon,72
Pennsylvania,81
Rhode Island,78
South Carolina,86
South Dakota,98
Tennessee,82
Texas,74
Utah,88
Vermont,86
Virginia,90
Washington,76
West Virginia,76
Wisconsin,82
Wyoming,85
