geoName,prevent
Alabama,91
Alaska,83
Arizona,84
Arkansas,90
California,89
Colorado,72
Connecticut,91
Delaware,89
District of Columbia,74
Florida,84
Georgia,82
Hawaii,96
Idaho,100
Illinois,84
Indiana,89
Iowa,86
Kansas,78
Kentucky,84
Louisiana,83
Maine,91
Maryland,95
Massachusetts,88
Michigan,84
Minnesota,87
Mississippi,85
Missouri,88
Montana,79
Nebraska,86
Nevada,84
New Hampshire,98
New Jersey,89
New Mexico,79
New York,87
North Carolina,93
North Dakota,92
Ohio,88
Oklahoma,82
Oregon,53
Pennsylvania,86
Rhode Island,91
South Carolina,86
South Dakota,94
Tennessee,84
Texas,81
Utah,84
Vermont,87
Virginia,82
Washington,81
West Virginia,90
Wisconsin,90
Wyoming,85
