geoName,prevent
Alabama,81
Alaska,73
Arizona,77
Arkansas,81
California,80
Colorado,75
Connecticut,86
Delaware,84
District of Columbia,77
Florida,73
Georgia,73
Hawaii,100
Idaho,86
Illinois,74
Indiana,85
Iowa,82
Kansas,73
Kentucky,83
Louisiana,74
Maine,78
Maryland,82
Massachusetts,80
Michigan,78
Minnesota,82
Mississippi,86
Missouri,71
Montana,78
Nebraska,80
Nevada,74
New Hampshire,82
New Jersey,81
New Mexico,76
New York,79
North Carolina,86
North Dakota,83
Ohio,83
Oklahoma,73
Oregon,55
Pennsylvania,84
Rhode Island,78
South Carolina,84
South Dakota,98
Tennessee,78
Texas,73
Utah,87
Vermont,77
Virginia,86
Washington,73
West Virginia,78
Wisconsin,82
Wyoming,68
