date,prevent,isPartial
2012-01-01,81,False
2012-01-08,84,False
2012-01-15,85,False
2012-01-22,86,False
2012-01-29,85,False
2012-02-05,92,False
2012-02-12,87,False
2012-02-19,88,False
2012-02-26,86,False
2012-03-04,94,False
2012-03-11,95,False
2012-03-18,96,False
2012-03-25,96,False
2012-04-01,93,False
2012-04-08,91,False
2012-04-15,100,False
2012-04-22,99,False
2012-04-29,98,False
2012-05-06,96,False
2012-05-13,96,False
2012-05-20,98,False
2012-05-27,94,False
2012-06-03,97,False
2012-06-10,93,False
2012-06-17,99,False
2012-06-24,90,False
2012-07-01,89,False
2012-07-08,97,False
2012-07-15,93,False
2012-07-22,97,False
2012-07-29,87,False
2012-08-05,91,False
2012-08-12,89,False
2012-08-19,93,False
2012-08-26,90,False
2012-09-02,91,False
2012-09-09,97,False
2012-09-16,98,False
2012-09-23,96,False
2012-09-30,99,False
2012-10-07,87,False
2012-10-14,96,False
2012-10-21,98,False
2012-10-28,94,False
2012-11-04,92,False
2012-11-11,98,False
2012-11-18,80,False
2012-11-25,98,False
2012-12-02,98,False
2012-12-09,98,False
2012-12-16,84,False
2012-12-23,79,False
2012-12-30,90,False
