geoName,fear
Alabama,55
Alaska,51
Arizona,55
Arkansas,54
California,46
Colorado,48
Connecticut,53
Delaware,47
District of Columbia,45
Florida,49
Georgia,49
Hawaii,43
Idaho,53
Illinois,49
Indiana,58
Iowa,52
Kansas,41
Kentucky,54
Louisiana,47
Maine,54
Maryland,50
Massachusetts,49
Michigan,50
Minnesota,43
Mississippi,49
Missouri,49
Montana,43
Nebraska,52
Nevada,52
New Hampshire,49
New Jersey,51
New Mexico,51
New York,46
North Carolina,100
North Dakota,41
Ohio,58
Oklahoma,50
Oregon,39
Pennsylvania,50
Rhode Island,51
South Carolina,58
South Dakota,47
Tennessee,50
Texas,46
Utah,56
Vermont,48
Virginia,37
Washington,48
West Virginia,56
Wisconsin,49
Wyoming,47
