geoName,fear
Alabama,48
Alaska,45
Arizona,54
Arkansas,48
California,46
Colorado,44
Connecticut,48
Delaware,42
District of Columbia,41
Florida,40
Georgia,45
Hawaii,39
Idaho,46
Illinois,43
Indiana,53
Iowa,46
Kansas,47
Kentucky,49
Louisiana,43
Maine,45
Maryland,44
Massachusetts,46
Michigan,46
Minnesota,41
Mississippi,48
Missouri,47
Montana,44
Nebraska,46
Nevada,45
New Hampshire,45
New Jersey,46
New Mexico,44
New York,45
North Carolina,100
North Dakota,45
Ohio,49
Oklahoma,47
Oregon,47
Pennsylvania,48
Rhode Island,50
South Carolina,50
South Dakota,43
Tennessee,45
Texas,41
Utah,55
Vermont,49
Virginia,49
Washington,44
West Virginia,52
Wisconsin,46
Wyoming,48
