date,help,isPartial
2013-01-06,95,False
2013-01-13,96,False
2013-01-20,97,False
2013-01-27,98,False
2013-02-03,96,False
2013-02-10,91,False
2013-02-17,95,False
2013-02-24,94,False
2013-03-03,94,False
2013-03-10,92,False
2013-03-17,96,False
2013-03-24,93,False
2013-03-31,89,False
2013-04-07,100,False
2013-04-14,96,False
2013-04-21,94,False
2013-04-28,92,False
2013-05-05,91,False
2013-05-12,95,False
2013-05-19,90,False
2013-05-26,88,False
2013-06-02,89,False
2013-06-09,89,False
2013-06-16,88,False
2013-06-23,90,False
2013-06-30,82,False
2013-07-07,90,False
2013-07-14,87,False
2013-07-21,89,False
2013-07-28,89,False
2013-08-04,88,False
2013-08-11,86,False
2013-08-18,89,False
2013-08-25,93,False
2013-09-01,93,False
2013-09-08,96,False
2013-09-15,96,False
2013-09-22,96,False
2013-09-29,93,False
2013-10-06,93,False
2013-10-13,91,False
2013-10-20,92,False
2013-10-27,91,False
2013-11-03,97,False
2013-11-10,99,False
2013-11-17,97,False
2013-11-24,83,False
2013-12-01,92,False
2013-12-08,92,False
2013-12-15,86,False
2013-12-22,76,False
2013-12-29,86,False
