geoName,help
Alabama,90
Alaska,83
Arizona,79
Arkansas,89
California,69
Colorado,76
Connecticut,71
Delaware,73
District of Columbia,62
Florida,71
Georgia,81
Hawaii,68
Idaho,86
Illinois,72
Indiana,90
Iowa,86
Kansas,83
Kentucky,88
Louisiana,82
Maine,84
Maryland,73
Massachusetts,73
Michigan,80
Minnesota,74
Mississippi,97
Missouri,85
Montana,86
Nebraska,78
Nevada,74
New Hampshire,76
New Jersey,70
New Mexico,79
New York,73
North Carolina,86
North Dakota,80
Ohio,84
Oklahoma,86
Oregon,75
Pennsylvania,79
Rhode Island,75
South Carolina,83
South Dakota,90
Tennessee,82
Texas,73
Utah,86
Vermont,74
Virginia,79
Washington,67
West Virginia,100
Wisconsin,81
Wyoming,91
