date,help,isPartial
2012-01-01,99,False
2012-01-08,100,False
2012-01-15,95,False
2012-01-22,96,False
2012-01-29,94,False
2012-02-05,92,False
2012-02-12,88,False
2012-02-19,93,False
2012-02-26,100,False
2012-03-04,93,False
2012-03-11,89,False
2012-03-18,90,False
2012-03-25,88,False
2012-04-01,86,False
2012-04-08,86,False
2012-04-15,90,False
2012-04-22,89,False
2012-04-29,88,False
2012-05-06,86,False
2012-05-13,84,False
2012-05-20,85,False
2012-05-27,85,False
2012-06-03,85,False
2012-06-10,82,False
2012-06-17,83,False
2012-06-24,81,False
2012-07-01,82,False
2012-07-08,85,False
2012-07-15,83,False
2012-07-22,84,False
2012-07-29,81,False
2012-08-05,80,False
2012-08-12,80,False
2012-08-19,84,False
2012-08-26,88,False
2012-09-02,87,False
2012-09-09,90,False
2012-09-16,89,False
2012-09-23,88,False
2012-09-30,87,False
2012-10-07,83,False
2012-10-14,82,False
2012-10-21,84,False
2012-10-28,86,False
2012-11-04,86,False
2012-11-11,85,False
2012-11-18,72,False
2012-11-25,86,False
2012-12-02,85,False
2012-12-09,84,False
2012-12-16,77,False
2012-12-23,75,False
2012-12-30,82,False
