geoName,help
Alabama,91
Alaska,84
Arizona,79
Arkansas,92
California,71
Colorado,79
Connecticut,72
Delaware,80
District of Columbia,66
Florida,77
Georgia,80
Hawaii,73
Idaho,89
Illinois,75
Indiana,89
Iowa,91
Kansas,86
Kentucky,92
Louisiana,85
Maine,90
Maryland,77
Massachusetts,69
Michigan,80
Minnesota,73
Mississippi,96
Missouri,79
Montana,100
Nebraska,86
Nevada,78
New Hampshire,83
New Jersey,72
New Mexico,82
New York,71
North Carolina,85
North Dakota,77
Ohio,82
Oklahoma,91
Oregon,76
Pennsylvania,81
Rhode Island,77
South Carolina,87
South Dakota,97
Tennessee,88
Texas,77
Utah,89
Vermont,73
Virginia,82
Washington,73
West Virginia,100
Wisconsin,75
Wyoming,94
