geoName,help
Alabama,87
Alaska,87
Arizona,80
Arkansas,95
California,69
Colorado,75
Connecticut,68
Delaware,76
District of Columbia,67
Florida,75
Georgia,82
Hawaii,71
Idaho,88
Illinois,74
Indiana,87
Iowa,87
Kansas,72
Kentucky,89
Louisiana,85
Maine,82
Maryland,78
Massachusetts,69
Michigan,79
Minnesota,78
Mississippi,98
Missouri,84
Montana,89
Nebraska,80
Nevada,78
New Hampshire,78
New Jersey,69
New Mexico,84
New York,70
North Carolina,88
North Dakota,76
Ohio,85
Oklahoma,79
Oregon,58
Pennsylvania,78
Rhode Island,74
South Carolina,92
South Dakota,85
Tennessee,83
Texas,73
Utah,85
Vermont,74
Virginia,56
Washington,71
West Virginia,100
Wisconsin,80
Wyoming,93
