geoName,help
Alabama,97
Alaska,90
Arizona,82
Arkansas,94
California,70
Colorado,83
Connecticut,73
Delaware,84
District of Columbia,67
Florida,80
Georgia,86
Hawaii,71
Idaho,98
Illinois,77
Indiana,92
Iowa,88
Kansas,87
Kentucky,88
Louisiana,87
Maine,90
Maryland,82
Massachusetts,72
Michigan,87
Minnesota,78
Mississippi,96
Missouri,81
Montana,99
Nebraska,87
Nevada,79
New Hampshire,79
New Jersey,74
New Mexico,88
New York,76
North Carolina,95
North Dakota,88
Ohio,86
Oklahoma,86
Oregon,49
Pennsylvania,82
Rhode Island,75
South Carolina,90
South Dakota,97
Tennessee,85
Texas,80
Utah,93
Vermont,83
Virginia,64
Washington,74
West Virginia,100
Wisconsin,82
Wyoming,96
