geoName,help
Alabama,87
Alaska,83
Arizona,81
Arkansas,91
California,69
Colorado,76
Connecticut,72
Delaware,79
District of Columbia,64
Florida,74
Georgia,77
Hawaii,70
Idaho,89
Illinois,73
Indiana,90
Iowa,88
Kansas,87
Kentucky,91
Louisiana,82
Maine,84
Maryland,76
Massachusetts,69
Michigan,80
Minnesota,74
Mississippi,90
Missouri,84
Montana,91
Nebraska,81
Nevada,75
New Hampshire,79
New Jersey,70
New Mexico,84
New York,68
North Carolina,88
North Dakota,78
Ohio,84
Oklahoma,84
Oregon,52
Pennsylvania,79
Rhode Island,72
South Carolina,86
South Dakota,95
Tennessee,80
Texas,76
Utah,82
Vermont,73
Virginia,76
Washington,73
West Virginia,100
Wisconsin,77
Wyoming,83
