geoName,tragic
Alabama,100
Alaska,67
Arizona,65
Arkansas,80
California,67
Colorado,57
Connecticut,89
Delaware,88
District of Columbia,50
Florida,61
Georgia,76
Hawaii,56
Idaho,74
Illinois,64
Indiana,72
Iowa,60
Kansas,69
Kentucky,70
Louisiana,66
Maine,66
Maryland,82
Massachusetts,65
Michigan,61
Minnesota,51
Mississippi,85
Missouri,69
Montana,49
Nebraska,64
Nevada,70
New Hampshire,79
New Jersey,89
New Mexico,59
New York,70
North Carolina,69
North Dakota,74
Ohio,69
Oklahoma,50
Oregon,34
Pennsylvania,78
Rhode Island,78
South Carolina,73
South Dakota,83
Tennessee,68
Texas,70
Utah,53
Vermont,61
Virginia,50
Washington,56
West Virginia,60
Wisconsin,59
Wyoming,49
