geoName,tragic
Alabama,90
Alaska,63
Arizona,62
Arkansas,87
California,63
Colorado,51
Connecticut,100
Delaware,68
District of Columbia,51
Florida,57
Georgia,73
Hawaii,64
Idaho,51
Illinois,58
Indiana,79
Iowa,57
Kansas,68
Kentucky,54
Louisiana,71
Maine,47
Maryland,67
Massachusetts,80
Michigan,65
Minnesota,51
Mississippi,67
Missouri,58
Montana,63
Nebraska,57
Nevada,66
New Hampshire,49
New Jersey,73
New Mexico,68
New York,59
North Carolina,63
North Dakota,43
Ohio,64
Oklahoma,60
Oregon,41
Pennsylvania,73
Rhode Island,72
South Carolina,73
South Dakota,45
Tennessee,58
Texas,57
Utah,49
Vermont,70
Virginia,44
Washington,59
West Virginia,41
Wisconsin,53
Wyoming,29
