geoName,tragic
Alabama,100
Alaska,36
Arizona,61
Arkansas,61
California,65
Colorado,64
Connecticut,84
Delaware,76
District of Columbia,54
Florida,64
Georgia,71
Hawaii,55
Idaho,64
Illinois,65
Indiana,59
Iowa,64
Kansas,64
Kentucky,61
Louisiana,72
Maine,81
Maryland,68
Massachusetts,76
Michigan,71
Minnesota,53
Mississippi,81
Missouri,64
Montana,57
Nebraska,58
Nevada,62
New Hampshire,72
New Jersey,86
New Mexico,57
New York,67
North Carolina,68
North Dakota,97
Ohio,67
Oklahoma,59
Oregon,61
Pennsylvania,82
Rhode Island,76
South Carolina,74
South Dakota,58
Tennessee,64
Texas,63
Utah,63
Vermont,34
Virginia,63
Washington,54
West Virginia,81
Wisconsin,51
Wyoming,84
