date,tragic,isPartial
2016-01-03,67,False
2016-01-10,65,False
2016-01-17,80,False
2016-01-24,72,False
2016-01-31,71,False
2016-02-07,79,False
2016-02-14,68,False
2016-02-21,79,False
2016-02-28,76,False
2016-03-06,84,False
2016-03-13,71,False
2016-03-20,75,False
2016-03-27,71,False
2016-04-03,80,False
2016-04-10,81,False
2016-04-17,81,False
2016-04-24,100,False
2016-05-01,82,False
2016-05-08,87,False
2016-05-15,83,False
2016-05-22,80,False
2016-05-29,61,False
2016-06-05,57,False
2016-06-12,61,False
2016-06-19,45,False
2016-06-26,47,False
2016-07-03,50,False
2016-07-10,49,False
2016-07-17,39,False
2016-07-24,37,False
2016-07-31,32,False
2016-08-07,42,False
2016-08-14,39,False
2016-08-21,45,False
2016-08-28,49,False
2016-09-04,59,False
2016-09-11,77,False
2016-09-18,64,False
2016-09-25,74,False
2016-10-02,68,False
2016-10-09,71,False
2016-10-16,69,False
2016-10-23,84,False
2016-10-30,79,False
2016-11-06,74,False
2016-11-13,82,False
2016-11-20,52,False
2016-11-27,90,False
2016-12-04,87,False
2016-12-11,96,False
2016-12-18,50,False
2016-12-25,34,False
