date,tragic,isPartial
2014-01-05,68,False
2014-01-12,83,False
2014-01-19,67,False
2014-01-26,73,False
2014-02-02,75,False
2014-02-09,86,False
2014-02-16,73,False
2014-02-23,82,False
2014-03-02,80,False
2014-03-09,86,False
2014-03-16,81,False
2014-03-23,75,False
2014-03-30,79,False
2014-04-06,86,False
2014-04-13,83,False
2014-04-20,77,False
2014-04-27,79,False
2014-05-04,89,False
2014-05-11,77,False
2014-05-18,70,False
2014-05-25,68,False
2014-06-01,68,False
2014-06-08,57,False
2014-06-15,47,False
2014-06-22,40,False
2014-06-29,41,False
2014-07-06,33,False
2014-07-13,45,False
2014-07-20,37,False
2014-07-27,39,False
2014-08-03,42,False
2014-08-10,54,False
2014-08-17,45,False
2014-08-24,49,False
2014-08-31,55,False
2014-09-07,65,False
2014-09-14,61,False
2014-09-21,76,False
2014-09-28,70,False
2014-10-05,72,False
2014-10-12,72,False
2014-10-19,83,False
2014-10-26,80,False
2014-11-02,78,False
2014-11-09,76,False
2014-11-16,87,False
2014-11-23,52,False
2014-11-30,85,False
2014-12-07,100,False
2014-12-14,98,False
2014-12-21,40,False
2014-12-28,41,False
