date,tragic,isPartial
2013-01-06,70,False
2013-01-13,68,False
2013-01-20,58,False
2013-01-27,67,False
2013-02-03,71,False
2013-02-10,69,False
2013-02-17,67,False
2013-02-24,67,False
2013-03-03,71,False
2013-03-10,65,False
2013-03-17,74,False
2013-03-24,57,False
2013-03-31,59,False
2013-04-07,77,False
2013-04-14,100,False
2013-04-21,68,False
2013-04-28,80,False
2013-05-05,88,False
2013-05-12,69,False
2013-05-19,77,False
2013-05-26,62,False
2013-06-02,56,False
2013-06-09,49,False
2013-06-16,30,False
2013-06-23,37,False
2013-06-30,43,False
2013-07-07,37,False
2013-07-14,35,False
2013-07-21,46,False
2013-07-28,39,False
2013-08-04,38,False
2013-08-11,39,False
2013-08-18,45,False
2013-08-25,44,False
2013-09-01,52,False
2013-09-08,64,False
2013-09-15,66,False
2013-09-22,62,False
2013-09-29,77,False
2013-10-06,83,False
2013-10-13,69,False
2013-10-20,87,False
2013-10-27,81,False
2013-11-03,85,False
2013-11-10,79,False
2013-11-17,81,False
2013-11-24,55,False
2013-12-01,90,False
2013-12-08,89,False
2013-12-15,89,False
2013-12-22,42,False
2013-12-29,45,False
