date,tragic,isPartial
2015-01-04,62,False
2015-01-11,75,False
2015-01-18,71,False
2015-01-25,65,False
2015-02-01,67,False
2015-02-08,68,False
2015-02-15,59,False
2015-02-22,69,False
2015-03-01,74,False
2015-03-08,69,False
2015-03-15,79,False
2015-03-22,71,False
2015-03-29,67,False
2015-04-05,70,False
2015-04-12,82,False
2015-04-19,78,False
2015-04-26,86,False
2015-05-03,83,False
2015-05-10,82,False
2015-05-17,75,False
2015-05-24,71,False
2015-05-31,62,False
2015-06-07,57,False
2015-06-14,47,False
2015-06-21,45,False
2015-06-28,39,False
2015-07-05,39,False
2015-07-12,39,False
2015-07-19,51,False
2015-07-26,49,False
2015-08-02,45,False
2015-08-09,43,False
2015-08-16,51,False
2015-08-23,63,False
2015-08-30,57,False
2015-09-06,66,False
2015-09-13,63,False
2015-09-20,67,False
2015-09-27,85,False
2015-10-04,84,False
2015-10-11,71,False
2015-10-18,87,False
2015-10-25,78,False
2015-11-01,85,False
2015-11-08,86,False
2015-11-15,100,False
2015-11-22,51,False
2015-11-29,88,False
2015-12-06,90,False
2015-12-13,83,False
2015-12-20,43,False
2015-12-27,37,False
