geoName,tragic
Alabama,80
Alaska,59
Arizona,56
Arkansas,83
California,64
Colorado,60
Connecticut,83
Delaware,29
District of Columbia,40
Florida,60
Georgia,64
Hawaii,54
Idaho,95
Illinois,52
Indiana,61
Iowa,66
Kansas,62
Kentucky,59
Louisiana,66
Maine,75
Maryland,76
Massachusetts,62
Michigan,65
Minnesota,54
Mississippi,82
Missouri,42
Montana,41
Nebraska,52
Nevada,70
New Hampshire,75
New Jersey,83
New Mexico,63
New York,59
North Carolina,64
North Dakota,97
Ohio,63
Oklahoma,40
Oregon,54
Pennsylvania,75
Rhode Island,100
South Carolina,66
South Dakota,52
Tennessee,67
Texas,61
Utah,77
Vermont,68
Virginia,59
Washington,46
West Virginia,49
Wisconsin,57
Wyoming,67
