date,tragic,isPartial
2012-01-01,35,False
2012-01-08,49,False
2012-01-15,48,False
2012-01-22,44,False
2012-01-29,39,False
2012-02-05,51,False
2012-02-12,48,False
2012-02-19,36,False
2012-02-26,48,False
2012-03-04,44,False
2012-03-11,43,False
2012-03-18,44,False
2012-03-25,50,False
2012-04-01,41,False
2012-04-08,48,False
2012-04-15,48,False
2012-04-22,48,False
2012-04-29,50,False
2012-05-06,47,False
2012-05-13,42,False
2012-05-20,39,False
2012-05-27,44,False
2012-06-03,37,False
2012-06-10,32,False
2012-06-17,24,False
2012-06-24,25,False
2012-07-01,24,False
2012-07-08,21,False
2012-07-15,34,False
2012-07-22,32,False
2012-07-29,29,False
2012-08-05,26,False
2012-08-12,25,False
2012-08-19,28,False
2012-08-26,36,False
2012-09-02,34,False
2012-09-09,47,False
2012-09-16,43,False
2012-09-23,45,False
2012-09-30,45,False
2012-10-07,44,False
2012-10-14,44,False
2012-10-21,100,False
2012-10-28,62,False
2012-11-04,68,False
2012-11-11,58,False
2012-11-18,43,False
2012-11-25,57,False
2012-12-02,63,False
2012-12-09,91,False
2012-12-16,68,False
2012-12-23,30,False
2012-12-30,38,False
