geoName,tragic
Alabama,82
Alaska,60
Arizona,63
Arkansas,100
California,71
Colorado,57
Connecticut,83
Delaware,58
District of Columbia,50
Florida,55
Georgia,68
Hawaii,60
Idaho,50
Illinois,63
Indiana,85
Iowa,56
Kansas,53
Kentucky,77
Louisiana,68
Maine,89
Maryland,77
Massachusetts,72
Michigan,61
Minnesota,56
Mississippi,83
Missouri,59
Montana,62
Nebraska,72
Nevada,58
New Hampshire,61
New Jersey,82
New Mexico,81
New York,65
North Carolina,72
North Dakota,63
Ohio,67
Oklahoma,60
Oregon,38
Pennsylvania,75
Rhode Island,76
South Carolina,75
South Dakota,75
Tennessee,70
Texas,64
Utah,48
Vermont,72
Virginia,66
Washington,51
West Virginia,65
Wisconsin,60
Wyoming,65
