geoName,depression
Alabama,79
Alaska,67
Arizona,70
Arkansas,79
California,63
Colorado,71
Connecticut,81
Delaware,82
District of Columbia,58
Florida,66
Georgia,68
Hawaii,65
Idaho,83
Illinois,71
Indiana,88
Iowa,81
Kansas,81
Kentucky,85
Louisiana,73
Maine,90
Maryland,77
Massachusetts,75
Michigan,79
Minnesota,75
Mississippi,88
Missouri,81
Montana,79
Nebraska,77
Nevada,69
New Hampshire,83
New Jersey,76
New Mexico,74
New York,70
North Carolina,77
North Dakota,81
Ohio,81
Oklahoma,73
Oregon,76
Pennsylvania,82
Rhode Island,83
South Carolina,83
South Dakota,84
Tennessee,79
Texas,64
Utah,84
Vermont,100
Virginia,76
Washington,74
West Virginia,99
Wisconsin,77
Wyoming,93
