geoName,depression
Alabama,82
Alaska,80
Arizona,81
Arkansas,90
California,72
Colorado,75
Connecticut,84
Delaware,75
District of Columbia,67
Florida,70
Georgia,73
Hawaii,72
Idaho,85
Illinois,75
Indiana,88
Iowa,85
Kansas,84
Kentucky,85
Louisiana,75
Maine,97
Maryland,78
Massachusetts,81
Michigan,84
Minnesota,87
Mississippi,83
Missouri,85
Montana,77
Nebraska,85
Nevada,67
New Hampshire,85
New Jersey,79
New Mexico,85
New York,74
North Carolina,81
North Dakota,95
Ohio,83
Oklahoma,81
Oregon,76
Pennsylvania,84
Rhode Island,90
South Carolina,81
South Dakota,95
Tennessee,79
Texas,69
Utah,82
Vermont,87
Virginia,78
Washington,76
West Virginia,100
Wisconsin,88
Wyoming,81
